lp;ilosc;czas calkowity;czas/zapis
10;5000;205;0.041
1,0,10
2,0,100
3,3,1000
4,5,2000
5,13,4000
6,26,8000
7,41,16000
8,91,32000
9,219,64000
10,296,128000
1,101200,10
2,366200,100
3,2416400,1000
4,4581600,2000
5,9238400,4000
6,18424500,8000
7,38663400,16000
8,74169500,32000
9,198585600,64000
10,228252700,128000
