lp;ilosc;czas calkowity;czas/zapis
0;100000;49;0.00049
1;100000;45;0.00045
2;100000;47;0.00047
3;100000;56;0.00056
4;100000;60;0.0006
5;100000;51;0.00051
6;100000;50;0.0005
7;100000;50;0.0005
8;100000;45;0.00045
9;100000;53;0.00053
10;100000;52;0.00052
11;100000;43;0.00043
12;100000;44;0.00044
13;100000;51;0.00051
14;100000;49;0.00049
15;100000;57;0.00057
16;100000;56;0.00056
17;100000;72;0.00072
18;100000;60;0.0006
19;100000;58;0.00058
